Time,Latitude,Longitude,Timestamp,Response
01:36:48,-44.7669,53.2351,1702930010,success
01:36:49,-44.7198,53.3481,1702930012,success
01:36:51,-44.6726,53.4609,1702930013,success
01:36:52,-44.6252,53.5736,1702930015,success
01:36:54,-44.5776,53.6862,1702930016,success
01:36:55,-44.53,53.7984,1702930018,success
01:36:57,-44.4823,53.9105,1702930019,success
01:36:58,-44.4344,54.0223,1702930021,success
01:37:00,-44.3865,54.134,1702930022,success
01:37:01,-44.3384,54.2454,1702930024,success
01:37:03,-44.2901,54.3567,1702930025,success
01:37:04,-44.2418,54.4678,1702930027,success
01:37:06,-44.1934,54.5787,1702930028,success
01:37:07,-44.1448,54.6894,1702930030,success
01:37:09,-44.0961,54.7998,1702930031,success
01:37:10,-44.0473,54.9101,1702930033,success
01:37:12,-43.9984,55.0202,1702930034,success
01:37:13,-43.9493,55.1302,1702930036,success
01:37:15,-43.9002,55.2399,1702930037,success
01:37:16,-43.8509,55.3494,1702930039,success
